,Sentence,Chart_Type,Data_Type,Time_Period,Operation
878,Display a histogram of revenue data to highlight the comparison during the last 3 months.,Histogram,Revenue data,Last 3 months,Comparison
879,Generate a heatmap depicting change in revenue data over the this quarter.,Heatmap,Revenue data,This quarter,Change
880,Display a pie chart of profit data to highlight the growth during the last month.,Pie chart,Profit data,Last month,Growth
881,Display a heatmap of revenue data to highlight the change during the last quarter.,Heatmap,Revenue data,Last quarter,Change
882,Generate a stacked bar chart depicting change in expenses data over the last quarter.,Stacked bar chart,Expenses data,Last quarter,Change
883,Show a bar chart representing customer visits growth for the last 3 months.,Bar chart,Customer visits,Last 3 months,Growth
884,Make a pie chart showing the correlation of revenue data over the current year.,Pie chart,Revenue data,Current year,Correlation
885,Display a pie chart of product prices to highlight the change during the last quarter.,Pie chart,Product prices,Last quarter,Change
886,Make a histogram showing the increase of product prices over the last quarter.,Histogram,Product prices,Last quarter,Increase
887,Show a scatter plot representing market share growth for the current year.,Scatter plot,Market share,Current year,Growth
888,Display a scatter plot of expenses data to highlight the change during the past week.,Scatter plot,Expenses data,Past week,Change
889,Plot a bar chart to visualize revenue data distribution for the current year.,Bar chart,Revenue data,Current year,Distribution
890,Show a bar chart representing market share increase for the current year.,Bar chart,Market share,Current year,Increase
891,Plot a scatter plot to visualize customer visits change for the this quarter.,Scatter plot,Customer visits,This quarter,Change
892,Provide a histogram showing growth of customer satisfaction across the last quarter.,Histogram,Customer satisfaction,Last quarter,Growth
893,Display a pie chart of sales data to highlight the correlation during the last two years.,Pie chart,Sales data,Last two years,Correlation
894,Generate a bar chart depicting correlation in website traffic over the this quarter.,Bar chart,Website traffic,This quarter,Correlation
895,Plot a histogram to visualize market share increase for the last year.,Histogram,Market share,Last year,Increase
896,Show a stacked bar chart representing product prices growth for the last two years.,Stacked bar chart,Product prices,Last two years,Growth
897,Generate a bar chart depicting variation in profit data over the this year.,Bar chart,Profit data,This year,Variation
898,Make a bar chart showing the growth of revenue data over the this quarter.,Bar chart,Revenue data,This quarter,Growth
899,Make a stacked bar chart showing the distribution of website traffic over the last two years.,Stacked bar chart,Website traffic,Last two years,Distribution
900,Show a histogram representing website traffic growth for the last month.,Histogram,Website traffic,Last month,Growth
